Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 500GB HDD DOS Black, Цена : 41920 сом Ссылка : https://www.kivano.kg/noutbuki/product/view/noutbuk-lenovo-ideapad-s145-15iil-intel-core-i3-1005g1-8gb-ddr4-500gb-hdd-dos-black
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR4 1000GB HDD DOS Black, Цена : 40180 сом Ссылка : https://www.kivano.kg/noutbuki/product/view/noutbuk-lenovo-ideapad-s145-15iil-intel-core-i3-1005g1-4gb-ddr4-1000gb-hdd-dos-black
Ноутбук Lenovo IdeaPad Gaming L340-15IRH Intel Core i5-9300H 8GB DDR4 256GB SSD Nvidia GTX 1650 4GB Full HD Black, Цена : 71390 сом Ссылка : https://www.kivano.kg/noutbuki/product/view/noutbuk-lenovo-ideapad-gaming-l340-15irh-intel-core-i5-9300h-8gb-ddr4-256gb-ssd-nvidia-gtx-1650-4gb-full-hd-black
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 1000GB HDD DOS Black, Цена : 42180 сом Ссылка : https://www.kivano.kg/noutbuki/product/view/noutbuk-lenovo-ideapad-s145-15iil-intel-core-i3-1005g1-8gb-ddr4-1000gb-hdd-dos-black
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR4 256GB SSD DOS Black, Цена : 41060 сом Ссылка : https://www.kivano.kg/noutbuki/product/view/noutbuk-lenovo-ideapad-s145-15iil-intel-core-i3-1005g1-4gb-ddr4-256gb-ssd-dos-black
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 256GB SSD DOS Black, Цена : 43050 сом Ссылка : https://www.kivano.kg/noutbuki/product/view/noutbuk-lenovo-ideapad-s145-15iil-intel-core-i3-1005g1-8gb-ddr4-256gb-ssd-dos-black
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 512GB SSD DOS Black, Цена : 44790 сом Ссылка : https://www.kivano.kg/noutbuki/product/view/noutbuk-lenovo-ideapad-s145-15iil-intel-core-i3-1005g1-8gb-ddr4-512gb-ssd-dos-black
Ноутбук Asus FX505DT AMD Ryzen 7-3750H 8GB DDR4 256GB SSD NVIDIA GTX1650 FHD W10 Black, Цена : 82650 сом Ссылка : https://www.kivano.kg/noutbuki/product/view/noutbuk-asus-fx505dt-amd-ryzen-7-3750h-8gb-ddr4-256gb-ssd-nvidia-gtx1650-fhd-w10-black
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR4 500GB HDD DOS Black, Цена : 39920 сом Ссылка : https://www.kivano.kg/noutbuki/product/view/noutbuk-lenovo-ideapad-s145-15iil-intel-core-i3-1005g1-4gb-ddr4-500gb-hdd-dos-black
Ноутбук Lenovo Ideapad 3 Intel Pentium 6405U 4GB DDR4 128GB SSD W10 черный, Цена : 35730 сом Ссылка : https://www.kivano.kg/noutbuki/product/view/noutbuk-lenovo-ideapad-3-intel-pentium-6405u-4gb-ddr4-128gb-ssd-w10-chernyy
