Название;Цена;Наличие
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 20GB DDR 1000GB HDD + 128GB SSD Intel HD Graphics 620 HD серый;47930 сом;На складе
Ноутбук HP 15-DB1255UR AMD Athlon 300U 8GB DDR4 256GB SSD RADEON 530 W10 FHD серый;54880 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 20GB DDR 1000GB HDD + 256GB SSD Intel HD Graphics 620 HD серый;49670 сом;На складе
Ноутбук HP 15S-EQ1143UR AMD Athlon 3150U 8GB DDR4 256GB SSD DOS FHD серый;47750 сом;На складе
Ноутбук HP Omen 15-dh1054nr Intel Core i7-10750H 16GB DDR4 512GB SSD Nvidia GTX 1660Ti 6GB FHD черный;116850 сом;На складе
Ноутбук MSI Thin Intel Core i5-9300H 8GB DDR4 8GB DDR4 256GB SSD Nvidia GTX 1650 4GB FHD черный;80050 сом;На складе
Ноутбук Lenovo ThinkPad T14 Intel Core i7-10510U 16GB DDR4 512GB SSD Intel UHD Graphics 620 FHD черный;142350 сом;На складе
Ноутбук Asus Zenbook Q407IQ-BR5N4 AMD Ryzen 5 4500U 8GB DDR4 256GB SSD Nvidia MX350 2GB FHD серый;82650 сом;На складе
Ноутбук Asus X509J Intel Core i5-1035G1 4GB DDR4 128GB SSD NVIDIA MX330 FHD DOS;60960 сом;На складе
Ноутбук Asus X509J Intel Core i5-1035G1 8GB DDR4 128GB SSD NVIDIA MX330 FHD DOS;63130 сом;На складе
Ноутбук Asus X509J Intel Core i5-1035G1 12GB DDR4 128GB SSD NVIDIA MX330 FHD DOS;65300 сом;На складе
Ноутбук Asus X509J Intel Core i5-1035G1 20GB DDR4 128GB SSD NVIDIA MX330 FHD DOS;69640 сом;На складе
Ноутбук Lenovo IdeaPad 3 15IGL05 Intel Celeron N4120 4GB DDR 500GB HDD Intel UHD Graphics 600 HD серый;30500 сом;На складе
Ноутбук Asus X509J Intel Core i5-1035G1 8GB DDR4 256GB SSD NVIDIA MX330 FHD W10;64000 сом;На складе
Ноутбук Lenovo Flex 14 81SQ0000US Intel Core i5-8265U 8GB DDR4 256GB SSD Intel UHD Graphics 620 Full HD;69640 сом;На складе
Ноутбук Lenovo IdeaPad 3 15IGL05 Intel Celeron N4120 4GB DDR 1000GB HDD Intel UHD Graphics 600 HD серый;30770 сом;На складе
Ноутбук Asus X509J Intel Core i5-1035G1 12GB DDR4 256GB SSD NVIDIA MX330 FHD W10;66170 сом;На складе
Ноутбук Asus X509J Intel Core i5-1035G1 4GB DDR4 512GB SSD NVIDIA MX330 FHD DOS;65300 сом;На складе
Ноутбук Lenovo IdeaPad 3 15IGL05 Intel Celeron N4120 4GB DDR 120GB SSD Intel UHD Graphics 600 HD серый;30770 сом;На складе
Ноутбук Asus X509J Intel Core i5-1035G1 8GB DDR4 512GB SSD NVIDIA MX330 FHD DOS;67470 сом;На складе
Ноутбук Asus X509J Intel Core i5-1035G1 12GB DDR4 512GB SSD NVIDIA MX330 FHD DOS;68780 сом;На складе
Ноутбук Lenovo IdeaPad 3 15IGL05 Intel Celeron N4120 4GB DDR 256GB SSD Intel UHD Graphics 600 HD серый;31630 сом;На складе
Ноутбук Asus X509J Intel Core i5-1035G1 20GB DDR4 512GB SSD NVIDIA MX330 FHD DOS;73110 сом;На складе
Ноутбук Dell G5-5500 3DK9M Intel Core i5-10300H 8GB DDR4 256GB SSD NVIDIA GTX1650Ti FHD W10 Interstellar Dark;94790 сом;На складе
Ноутбук Lenovo IdeaPad 3 15IGL05 Intel Celeron N4120 4GB DDR 512GB SSD Intel UHD Graphics 600 HD серый;33380 сом;На складе
Ноутбук Dell Inspiron 15 3583 Intel Pentium 5405U 4GB DDR4 128GB SSD W10 Black;39230 сом;На складе
Ноутбук Dell Latitude 14 5410 Intel Core i5-10210U 8GB DDR4 512GB SSD W10 Silver;77880 сом;На складе
Ноутбук Acer Aspire A315-56-58QT Intel Core i5-1035G1 8GB DDR4 128GB SSD FHD DOS Black;51850 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR4 120GB SSD Intel HD Graphics 620 HD DOS Black;40180 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 120GB SSD Intel HD Graphics 620 HD DOS Black;42180 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR 512GB SSD Intel HD Graphics 620 HD DOS Black;42790 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR 500GB HDD + 120GB SSD Intel HD Graphics 620 HD DOS Black;42530 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR 500GB HDD + 120GB SSD Intel HD Graphics 620 HD DOS Black;44710 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR 120GB SSD Intel HD Graphics 620 HD серый;40610 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR 500GB HDD + 256GB SSD Intel HD Graphics 620 HD DOS Black;43570 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR 240GB SSD Intel HD Graphics 620 HD серый;41490 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR 1000GB HDD + 120GB SSD Intel HD Graphics 620 HD DOS Black;45140 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR 480GB SSD Intel HD Graphics 620 HD серый;44180 сом;На складе
Ноутбук Lenovo ThinkPad X1 Yoga Gen 5 Intel Core i7-10610U 16GB DDR3 512GB SSD Intel UHD Graphics 620 WQHD серый;203450 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR 1000GB HDD + 256GB SSD Intel HD Graphics 620 HD DOS Black;44020 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR 1000GB HDD Intel HD Graphics 620 HD серый;40610 сом;На складе
Ноутбук Lenovo ThinkPad X1 Yoga Gen 5 Intel Core i5-10210U 8GB DDR3 256GB SSD Intel UHD Graphics 620 FHD серый;143640 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR 1000GB HDD + 512GB SSD Intel HD Graphics 620 HD DOS Black;45750 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR 1000GB HDD + 128GB SSD Intel HD Graphics 620 HD серый;42700 сом;На складе
Ноутбук Acer TravelMate X3 Intel Core i5-8250U 8GB DDR4 256GB SSD Intel UHD Graphics 620 FHD серый;64440 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR 1000GB HDD + 256GB SSD Intel HD Graphics 620 HD серый;44630 сом;На складе
Ноутбук Dell Vostro 14 3491-6258 Intel Core i5-1035G1 8GB DDR4 1000GB HDD + 256GB SSD NVIDIA MX230 FHD DOS черный;71390 сом;На складе
Ноутбук Lenovo IdeaPad Gaming 3i Intel Core i5-10300H 8GB DDR4 512GB SSD Nvidia GTX 1650Ti 4GB FHD черный;90020 сом;На складе
Ноутбук HP Omen15t-dh100 Intel Core i7-10750H 8GB DDR4 512GB SSD Nvidia GTX 1650Ti 4GB GDDR5 FHD черный;108630 сом;На складе
Ноутбук HP Omen15t-dh100 Intel Core i7-10750H 8GB DDR4 512GB SSD Nvidia GTX 2070 8GB GDDR5 FHD черный;157350 сом;На складе
Ноутбук MSI GL65 Leopard 10SCSR-081XRU 9S7-16U822-081 Intel Core i7-10750H 8GB DDR4 1000GB HDD + 256 SSD Nvidai GTX GTX1650Ti 4GB FHD черный;115560 сом;На складе
Ноутбук Acer Extensa EX215-31-C6VF Intel Celeron N4020 4GB DDR4 256GB SSD FHD DOS Shale Black;38350 сом;На складе
Ноутбук MSI GF63 Thin 9SCSR-899XRU 9S7-16R412-899 Intel Core i7-9750H 16GB DDR4 512GB SSD NVIDIA GTX 1650Ti 4GB FHD черный;111660 сом;На складе
Ноутбук Acer Extensa EX215-31-P5LC Intel Pentium N5030 8GB DDR4 256GB SSD FHD DOS Black;40960 сом;На складе
Ноутбук Asus M570DD-DM057 AMD Ryzen 7 3700U 8GB DDR4 512GB SSD NVIDIA GTX1050 FHD DOS черный;77880 сом;На складе
Ноутбук Lenovo Yoga 730-13IWL, 8GB, 256GB SSD;84820 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR 1000GB HDD Intel HD Graphics 620 HD серый;42620 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR 1000GB HDD + 128GB SSD Intel HD Graphics 620 HD серый;44880 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR 1000GB HDD + 256GB SSD Intel HD Graphics 620 HD серый;46620 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR 240GB SSD Intel HD Graphics 620 HD серый;43570 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR 480GB SSD Intel HD Graphics 620 HD серый;45590 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 12GB DDR4 120GB SSD Intel UHD Graphics HD серый;52710 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 12GB DDR4 240GB SSD Intel UHD Graphics HD серый;54010 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 12GB DDR4 480GB SSD Intel UHD Graphics HD серый;55750 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 12GB DDR4 1000GB HDD Intel UHD Graphics HD серый;52710 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 12GB DDR4 1000GB HDD + 128GB SSD Intel UHD Graphics HD серый;54010 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 12GB DDR4 1000GB HDD + 256GB SSD Intel UHD Graphics HD серый;55750 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 20GB DDR4 120GB SSD Intel UHD Graphics HD серый;54880 сом;На складе
Ноутбук Asus TUF Gaming FX705DT AMD Ryzen 7 3750H 8GB DDR4 1000GB HDD + 256GB SSD Nvidia GeForce GTX 1650 FHD черный;82650 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 20GB DDR4 240GB SSD Intel UHD Graphics HD серый;56190 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 20GB DDR4 480GB SSD Intel UHD Graphics HD серый;58360 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 20GB DDR4 1000GB HDD Intel UHD Graphics HD серый;54880 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 20GB DDR4 1000GB HDD + 128GB SSD Intel UHD Graphics HD серый;56450 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 20GB DDR4 1000GB HDD + 256GB SSD Intel UHD Graphics HD серый;58360 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 4GB DDR4 120GB SSD Intel UHD Graphics HD серый;49670 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 4GB DDR4 240GB SSD Intel UHD Graphics HD серый;51140 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 4GB DDR4 480GB SSD Intel UHD Graphics HD серый;53140 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 4GB DDR4 1000GB HDD Intel UHD Graphics HD серый;49670 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 4GB DDR4 1000GB HDD + 128GB SSD Intel UHD Graphics HD серый;51320 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 4GB DDR4 1000GB HDD + 256GB SSD Intel UHD Graphics HD серый;53140 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 4GB DDR4 500GB HDD Black;40350 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 8GB DDR4 120GB SSD Intel UHD Graphics HD серый;51400 сом;На складе
Ноутбук Acer Aspire 3 A315-23 AMD Athlon 3050U 8GB DDR4 512GB SSD RADEON VEGA 3 FHD W10 черный;51270 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 8GB DDR4 500GB HDD Black;42360 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 8GB DDR4 240GB SSD Intel UHD Graphics HD серый;52710 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 12GB DDR4 500GB HDD Black;44710 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 8GB DDR4 480GB SSD Intel UHD Graphics HD серый;54880 сом;На складе
Ноутбук Asus X509JB-EJ010 Intel Core i5-1035G1 8GB DDR4 1000GB HDD NVIDIA MX110 FHD DOS Grey;64000 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 4GB DDR4 1000GB HDD Black;40610 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 8GB DDR4 1000GB HDD Intel UHD Graphics HD серый;51750 сом;На складе
Ноутбук Asus X509JB-EJ010 Intel Core i5-1035G1 8GB DDR4 1000GB HDD + 120GB SSD NVIDIA MX110 FHD DOS Grey;66170 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 8GB DDR4 1000GB HDD Black;42620 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 8GB DDR4 1000GB HDD + 128GB SSD Intel UHD Graphics HD серый;53140 сом;На складе
Ноутбук Asus X509JB-EJ010 Intel Core i5-1035G1 8GB DDR4 240GB SSD NVIDIA MX110 FHD DOS Grey;64870 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 12GB DDR4 1000GB HDD Black;45050 сом;На складе
Ноутбук Lenovo ideapad S145-15IIL Intel Core i5-1035G1 8GB DDR4 1000GB HDD + 256GB SSD Intel UHD Graphics HD серый;54880 сом;На складе
Ноутбук Asus X509JB-EJ010 Intel Core i5-1035G1 8GB DDR4 256GB SSD NVIDIA MX110 FHD DOS Grey;65300 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 16GB DDR4 1000GB HDD Black;47660 сом;На складе
Ноутбук Asus X509JB-EJ010 Intel Core i5-1035G1 8GB DDR4 512GB SSD NVIDIA MX110 FHD DOS Grey;67910 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 4GB DDR4 120GB SSD Black;40610 сом;На складе
Ноутбук HP Pavilion x360 14-cd1055cl Intel Core i5-8265U 8GB DDR4 256GB SSD FHD W10 Silver;72250 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 8GB DDR4 120GB SSD Black;42620 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 12GB DDR4 120GB SSD Black;45050 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 16GB DDR4 120GB SSD Black;47660 сом;На складе
Ноутбук Lenovo Ideapad S145-15API AMD 3020e 4GB DDR4 240GB SSD AMD Radeon Graphics HD серебристый;33550 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 4GB DDR4 256GB SSD Black;41490 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 8GB DDR4 256GB SSD Black;43490 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 12GB DDR4 256GB SSD Black;45920 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 16GB DDR4 256GB SSD Black;48620 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 4GB DDR4 512GB SSD Black;43230 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 8GB DDR4 512GB SSD Black;45230 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 12GB DDR4 512GB SSD Black;47660 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 16GB DDR4 512GB SSD Black;50360 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 4GB DDR4 500GB HDD + 120GB SSD Black;42960 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 8GB DDR4 500GB HDD + 120GB SSD Black;45140 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 12GB DDR4 500GB HDD + 120GB SSD Black;47320 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 4GB DDR4 500GB HDD + 256GB SSD Black;44020 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 8GB DDR4 500GB HDD + 256GB SSD Black;46270 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 12GB DDR4 500GB HDD + 256GB SSD Black;48540 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 4GB DDR4 1000GB HDD + 120GB SSD Black;43230 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 120GB SSD Black;45580 сом;На складе
Ноутбук Acer Aspire 3 A315-23-A5B1 NX.HVTER.013 AMD Athlon 3020e 4GB DDR4 256GB SSD AMD Radeon Vega Graphics FHD W10 черный;40090 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 12GB DDR4 1000GB HDD + 120GB SSD Black;47750 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 16GB DDR4 1000GB HDD + 120GB SSD Black;50360 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 4GB DDR4 1000GB HDD + 256GB SSD Black;44450 сом;На складе
Ноутбук Lenovo IdeaPad Gaming 3 81Y4001XUS Intel Core i5-10300H 8GB DDR4 256GB SSD Nvidia GTX 1650Ti 4GB FHD черный;86980 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 256GB SSD Black;46710 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 12GB DDR4 1000GB HDD + 256GB SSD Black;48980 сом;На складе
Ноутбук Acer Aspire 3 A315-23-R6VQ NX.HVTER.014 AMD Athlon Silver 3050U 4GB DDR4 512GB SSD AMD Radeon Vega Graphics FHD черный;42700 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 16GB DDR4 1000GB HDD + 256GB SSD Black;51670 сом;На складе
Ноутбук Dell Latitude 14 3400 series NRJ36 Intel Core i5-8265U 8GB DDR4 500GB HDD Intel UHD Graphics 620 HD черный;65300 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 4GB DDR4 1000GB HDD + 512GB SSD Black;46190 сом;На складе
Ноутбук Acer Extensa EX215-22-R2BT AMD Athlon 3050U 4GB DDR4 128GB SSD FHD DOS Black;38960 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 512GB SSD Black;48190 сом;На складе
Ноутбук Acer Extensa EX215-22-R53Z AMD Athlon 3050U 4GB DDR4 256GB SSD FHD DOS Black;40450 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 12GB DDR4 1000GB HDD + 512GB SSD Black;50800 сом;На складе
Ноутбук Acer Extensa EX215-22-R1NG AMD Ryzen 5 3500U 8GB DDR4 512GB SSD RADEON R625 FHD DOS Black;69990 сом;На складе
Ноутбук Dell Inspiron 3501 Intel Core i3-1005G1 16GB DDR4 1000GB HDD + 512GB SSD Black;53580 сом;На складе
Ноутбук Acer Extensa EX215-22-R5TQ AMD Ryzen 5 3500U 8GB DDR4 256GB SSD RADEON R625 FHD DOS Black;67210 сом;На складе
Ноутбук Asus X515M Intel Celeron N4020 4GB DDR4 128GB SSD FHD DOS Grey;32420 сом;На складе
Ноутбук Acer Extensa EX215-22-R2FZ AMD Ryzen 5 3500U 8GB DDR4 1000GB HDD + 256GB SSD RADEON R625 FHD DOS Black;69990 сом;На складе
Ноутбук HP Pavilion Gaming 16-a0046nr 225L5UA#ABA Intel Core i7-10750H 8GB DDR4 256GB SSD Nvidia GTX1650Ti 4GB FHD черный;105610 сом;На складе
Ноутбук Acer Aspire 3 A315-42G-R9XV AMD Ryzen 7 3700U 8GB DDR4 256GB SSD RADEON 540X FHD DOS Shale Black;65300 сом;На складе
Ноутбук HP 17-BY3053CL Intel Core i5-1035G1 12GB DDR4 1000GB HDD DVDRW FHD W10 Silver;77020 сом;На складе
Ноутбук Asus X515M Intel Celeron N4020 8GB DDR4 256GB SSD FHD DOS Grey;35040 сом;На складе
Ноутбук Asus D509D AMD Ryzen 3 3250U 4GB DDR4 128GB SSD FHD DOS Grey;41920 сом;На складе
Ноутбук HP Pavilion X360 15-DQ1071CL Intel Core i5-10210U 8GB DDR4 512GB SSD FHD W10 Silver;73550 сом;На складе
Ноутбук Asus D509D AMD Ryzen 3 3250U 8GB DDR4 128GB SSD FHD DOS Grey;43920 сом;На складе
Ноутбук Asus D509D AMD Ryzen 3 3250U 12GB DDR4 128GB SSD FHD DOS Grey;46370 сом;На складе
Ноутбук Asus D509D AMD Ryzen 3 3250U 4GB DDR4 256GB SSD FHD DOS Grey;42790 сом;На складе
Ноутбук Asus D509D AMD Ryzen 3 3250U 8GB DDR4 256GB SSD FHD DOS Grey;44790 сом;На складе
Ноутбук Asus D509D AMD Ryzen 3 3250U 12GB DDR4 256GB SSD FHD DOS Grey;47230 сом;На складе
Ноутбук Asus D509D AMD Ryzen 3 3250U 4GB DDR4 512GB SSD FHD DOS Grey;45580 сом;На складе
Ноутбук Acer Extensa EX215-52-34U4 Intel Core i3-1005G1 4GB DDR4 128GB SSD FHD DOS Black;41670 сом;На складе
Ноутбук Dell Inspiron 15 5000 series 3593 Intel Core i3-1005G1 8GB DDR4 1000GB HDD Linux Black;42700 сом;На складе
Ноутбук Asus D509D AMD Ryzen 3 3250U 8GB DDR4 512GB SSD FHD DOS Grey;47580 сом;На складе
Ноутбук HP 15-dy1971cl Intel Core i7-1065G7 8GB DDR4 256GB SSD W10 FHD;73720 сом;На складе
Ноутбук Dell Inspiron 15 5000 series 3593 Intel Core i3-1005G1 8GB DDR4 480GB SSD Linux Black;45580 сом;На складе
Ноутбук Asus D509D AMD Ryzen 3 3250U 12GB DDR4 512GB SSD FHD DOS Grey;50010 сом;На складе
Ноутбук Acer Extensa EX215-52-31VH Intel Core i3-1005G1 4GB DDR4 1000GB HDD FHD DOS Black;41830 сом;На складе
Ноутбук HP 14S-CF2050 Intel Celeron N4020 4GB DDR4 64GB SSD W10 Silver + Toshiba 500GB HDD External;32160 сом;На складе
Ноутбук HP 14S-CF2050 Intel Celeron N4020 8GB DDR4 64GB SSD W10 Silver + Toshiba 500GB HDD External;33550 сом;На складе
Ноутбук Lenovo V145 Intel Celeron N4020 4GB DDR 1000GB HDD Intel UHD 600 Graphics HD серый;28310 сом;На складе
